Transaction Date,Transaction Type,Product id,Sku Id,Buyer Country,Buyer Postal Code,Amount (Merchant Currency),Merchant Currency
"Jun 3, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,91913,4.53,EUR
"Jun 3, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,33773,2.88,EUR
"Jun 3, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,79412,2.88,EUR
"Jun 4, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,07480,2.88,EUR
"Jun 4, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,NL,7523 ZA,1.73,EUR
"Jun 4, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,64029,4.53,EUR
"Jun 4, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,85204,1.64,EUR
"Jun 4, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,63501,2.05,EUR
"Jun 4, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48312,4.51,EUR
"Jun 4, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,45710,2.87,EUR
"Jun 4, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,45710,4.51,EUR
"Jun 4, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,53575,2.87,EUR
"Jun 5, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,11210,4.51,EUR
"Jun 5, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,11214,4.51,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98387,4.51,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,47542,4.51,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,47542,2.87,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,34479,4.51,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,34479,2.87,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,08505,2.87,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,55806,4.51,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,55806,4.51,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,63077,2.87,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,85712,4.51,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,27530,4.51,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.wallpaper.TicTacToePro,,AU,2291,0.67,EUR
"Jun 6, 2021",Refund,com.vansteinengroentjes.wallpaper.TicTacToePro,,AU,2291,-0.67,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,02746,2.87,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,DE,60599,1.23,EUR
"Jun 6, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,84318,2.87,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,84318,4.52,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,37876,4.52,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,68022,4.51,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,68022,2.87,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48867,4.51,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,48867,2.87,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,21222,4.51,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,71111,2.86,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,71111,4.5,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,76179,4.5,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,65265,4.5,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,38572,4.5,EUR
"Jun 7, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,AU,5048,4.62,EUR
"Jun 8, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,78006,4.51,EUR
"Jun 8, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,GB,TW20 8JA,1.75,EUR
"Jun 8, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,53012,4.51,EUR
"Jun 9, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,39501,2.86,EUR
"Jun 9, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,80260,4.51,EUR
"Jun 9, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,30458,2.87,EUR
"Jun 9, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,GB,EX34 8HL,1.27,EUR
"Jun 9, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,55906,4.51,EUR
"Jun 10, 2021",Charged,com.droidbs.apps.ekapp2012,,KR,31139,0.87,EUR
"Jun 10, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,93257,2.87,EUR
"Jun 10, 2021",Charged,com.vansteinengroentjes.apps.sitecrawler,,US,66213,2.87,EUR
"Jun 11, 2021",Charged,com.droidbs.wallpaper.live.systeminfo,,GB,SO508NN,1.21,EUR
"Jun 11, 2021",Refund,com.droidbs.wallpaper.live.systeminfo,,GB,SO508NN,-1.21,EUR
"Jun 11, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,17407,2.88,EUR
"Jun 11, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,CA,K8H 1M8,3.05,EUR
"Jun 11, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,CA,K8H 1M8,5.09,EUR
"Jun 11, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,43229,4.54,EUR
"Jun 11, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,32404,4.53,EUR
"Jun 11, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,84128,4.53,EUR
"Jun 11, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,MX,31120,2.33,EUR
"Jun 11, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,97236,4.53,EUR
"Jun 11, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,TR,06370,0.57,EUR
"Jun 11, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,53209,4.53,EUR
"Jun 12, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,SE,11320,1.72,EUR
"Jun 12, 2021",Charged,com.vansteinengroentjes.apps.sitecrawler,,US,31709,2.88,EUR
"Jun 12, 2021",Refund,com.vansteinengroentjes.apps.sitecrawler,,US,31709,-2.88,EUR
"Jun 12, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,52302,1.64,EUR
"Jun 12, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,52302,2.06,EUR
"Jun 12, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,45662,2.88,EUR
"Jun 12, 2021",Refund,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,84128,-4.53,EUR
"Jun 12, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,88012,4.53,EUR
"Jun 12, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,88012,2.88,EUR
"Jun 12, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,76048,4.53,EUR
"Jun 12, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,76048,2.88,EUR
"Jun 12, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,94928,4.53,EUR
"Jun 12, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,80909,4.53,EUR
"Jun 13, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,54481,4.53,EUR
"Jun 13, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,54481,2.88,EUR
"Jun 13, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,34972,2.88,EUR
"Jun 13, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,34972,4.53,EUR
"Jun 13, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48186,4.53,EUR
"Jun 13, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,61866,4.53,EUR
"Jun 13, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,86442,2.88,EUR
"Jun 13, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,25313,4.53,EUR
"Jun 13, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,76179,4.53,EUR
"Jun 13, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,39437,4.54,EUR
"Jun 13, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,CA,V2K 1Z1,3.05,EUR
"Jun 14, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,06241,2.88,EUR
"Jun 14, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,14561,4.53,EUR
"Jun 14, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,14561,2.88,EUR
"Jun 14, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,71235,2.88,EUR
"Jun 14, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,35802,2.88,EUR
"Jun 14, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,96002,2.88,EUR
"Jun 15, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,IT,38121,1.26,EUR
"Jun 15, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,CA,L4M 6S8,1.62,EUR
"Jun 15, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,48187,2.88,EUR
"Jun 15, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,92027,1.64,EUR
"Jun 15, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,61944,4.53,EUR
"Jun 15, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,55904,2.88,EUR
"Jun 15, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,61944,2.88,EUR
"Jun 15, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,49307,2.88,EUR
"Jun 15, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,83647,2.88,EUR
"Jun 15, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,63037,2.88,EUR
"Jun 15, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,63037,4.53,EUR
"Jun 16, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,93433,2.88,EUR
"Jun 16, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,93433,4.53,EUR
"Jun 16, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,98008,2.88,EUR
"Jun 16, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,68521,4.58,EUR
"Jun 16, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,40272,2.91,EUR
"Jun 16, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,33173,4.58,EUR
"Jun 16, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,20657,2.91,EUR
"Jun 16, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,89081,4.57,EUR
"Jun 17, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,74055,2.93,EUR
"Jun 17, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,74055,4.61,EUR
"Jun 17, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,02721,4.61,EUR
"Jun 17, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,76548,2.93,EUR
"Jun 17, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,78832,2.93,EUR
"Jun 17, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,78832,4.61,EUR
"Jun 18, 2021",Charged,com.vansteinengroentjes.apps.sitecrawler,,TH,10230,2.94,EUR
"Jun 18, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,28574,4.62,EUR
"Jun 18, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,28574,2.94,EUR
"Jun 18, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,34983,1.68,EUR
"Jun 18, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,35121,2.94,EUR
"Jun 18, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,75901,4.63,EUR
"Jun 18, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,97045,2.94,EUR
"Jun 18, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,97045,4.63,EUR
"Jun 18, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,75961,2.1,EUR
"Jun 18, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,75961,1.68,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,44221,2.94,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,65550,1.68,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,65550,2.1,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.whisky,com.vansteinengroentjes.apps.whisky.adverts,NL,1703 XA,1.05,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,DE,86502,1.76,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,64116,4.63,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,32907,2.1,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,46706,4.63,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.whisky,com.vansteinengroentjes.apps.whisky.adverts,NL,7523CC,1.05,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.sitecrawler,,US,93727,2.94,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98272,4.63,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,83442,4.63,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,91755,4.63,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,GB,DN200HS,1.76,EUR
"Jun 19, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,96789,4.63,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,AU,4740,4.58,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,61201,1.68,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,49415,2.94,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,49415,4.63,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,14150,4.63,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48708,4.63,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,92345,4.63,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,47303,2.1,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,47303,1.68,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,55401,4.63,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,12839,2.94,EUR
"Jun 20, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,TR,06450,1.55,EUR
"Jun 21, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,45337,2.93,EUR
"Jun 21, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,33955,2.93,EUR
"Jun 21, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,53590,1.67,EUR
"Jun 21, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,53590,2.09,EUR
"Jun 21, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,24301,2.93,EUR
"Jun 21, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,90650,4.61,EUR
"Jun 21, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,77351,4.61,EUR
"Jun 21, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,BG,9000,1.76,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,99403,4.61,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,NL,2623HL,2.88,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,GB,PE27 6TX,2.85,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,13601,4.6,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,39073,2.92,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,49274,2.92,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,12401,4.6,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,12401,2.92,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98823,4.6,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,41751,4.6,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,41751,2.93,EUR
"Jun 22, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,48420,2.93,EUR
"Jun 23, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,77471,4.6,EUR
"Jun 23, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,GB,SK23 7GB,2.86,EUR
"Jun 23, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,59644,2.92,EUR
"Jun 23, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,47802,4.6,EUR
"Jun 23, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,IE,V94 FDX5,1.7,EUR
"Jun 23, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,IE,V94 FDX5,2.84,EUR
"Jun 23, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,76557,4.6,EUR
"Jun 23, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,02721,2.93,EUR
"Jun 23, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,84601,4.6,EUR
"Jun 23, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,61802,1.67,EUR
"Jun 23, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,61802,2.09,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,79416,2.93,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,79416,4.61,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,28719,2.92,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,37357,2.92,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,DE,16816,1.76,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,AT,5020,2.91,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,82501,4.6,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,82501,2.93,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,29178,2.93,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,29178,4.6,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,13904,4.6,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,49329,4.6,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,64054,4.6,EUR
"Jun 24, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,68116,4.6,EUR
"Jun 25, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,89030,4.6,EUR
"Jun 25, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,89030,2.92,EUR
"Jun 25, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,GB,EN9 2AL,2.84,EUR
"Jun 25, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98092,4.6,EUR
"Jun 25, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,MX,06666,3.97,EUR
"Jun 25, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,28078,2.09,EUR
"Jun 25, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,28078,1.67,EUR
"Jun 25, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,71833,4.6,EUR
"Jun 25, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,01475,2.92,EUR
"Jun 25, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,97701,2.09,EUR
"Jun 25, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,97701,1.67,EUR
"Jun 26, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,79336,2.09,EUR
"Jun 26, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,80521,4.6,EUR
"Jun 26, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,80521,2.92,EUR
"Jun 26, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,CA,P7B 6L1,1.63,EUR
"Jun 26, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,79363,1.67,EUR
"Jun 26, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,62832,2.09,EUR
"Jun 26, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,76557,2.92,EUR
"Jun 26, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,26301,2.92,EUR
"Jun 26, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,26301,4.6,EUR
"Jun 26, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,85635,4.6,EUR
"Jun 27, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,CA,V9A 4C4,3.06,EUR
"Jun 27, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,27609,2.09,EUR
"Jun 27, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48453,4.6,EUR
"Jun 27, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,48453,2.92,EUR
"Jun 27, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,44830,1.67,EUR
"Jun 27, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,72576,1.67,EUR
"Jun 27, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,73005,4.6,EUR
